nom|tipus|numero_inscripcio|data_inscripcio|adreca|poblacio|codiPostal|comarca|classificacioGeneral|classificacioEspecifica
Fundació Privada La Nostra Llar Santa Anna|Fundació|627|1992/08/18|Carrer de Sant Julià , 11-13|Argentona|08310|Maresme|Assistencial|Residències ; Assistencial
Fundació Privada La Passió d'Esparreguera|Fundació|2119|2005/09/27|Avinguda Francesc Marimon , 83-89|Esparreguera|08292|Baix Llobregat|Cultural i Docent|Docent ; Realització actes culturals ; Altres activitats formatives ; Cultural
Fundació Privada La Plana|Fundació|1801|2003/05/09|Carrer Mas La Plana , s/n|Santa Maria d'Oló|08273|Moianès|Cultural|Cultural ; Altres activitats formatives ; Docent
Fundació Privada La Salle Catalunya|Fundació|2157|2006/01/20|Carrer Sant Joan de la Salle , 38|Barcelona|08022|Barcelonès|Cultural i Docent|
Fundació Privada La Salut Alta|Fundació|2024|2004/10/13|Carrer Autonomia , 17, bxs.|Badalona|08914|Barcelonès|Assistencial|Pobres i indigents ; Infància i adolescència ; Assistencial
Fundació Privada La Vall|Fundació|393|1988/10/06|Carretera de Berga , s/n|Sant Llorenç de Morunys|25282|Solsonès|Assistencial|Residències ; Assistencial
Fundació Privada Labrum|Fundació|2325|2007/06/15|Carrer Francesc Moragas , 8, 1r 1a|Manresa|08241|Bages|Cultural|Cultural
Fundació Privada Lacustaria.60|Fundació|2046|2004/12/03|Carrer Mestral , s/n|Llagostera|17240|Gironès|Assistencial|3a edat ; Residències ; Assistencial
Fundació Privada Lanz-Faura|Fundació|717|1993/08/18|Carrer València , 320, pral. 2a|Barcelona|08009|Barcelonès|Assistencial i Docent|Cultural ; Assistencial ; Artístiques ; Docent
Fundació Privada Lauretum Entorn Malaltia de l'Alzheimer|Fundació|2509|2008/11/19|Plaça de la Vila , 1|Lloret de Mar|17310|Selva|Assistencial|Assistencial
Fundació Privada Layret|Fundació|25|1984/03/15|Carrer de Muntaner , 48-50, 5è  2a|Barcelona|08011|Barcelonès|Docent|Sindicals i polítiques ; Docent
Fundació Privada Liber|Fundació|1666|2002/07/08|Carrer Raval Sant Pere , 5-7|Reus|43201|Baix Camp|Cultural|Promoció ; Cultural
Fundació Privada Livania|Fundació|2155|2006/01/16|Carrer Riera de Llitrà (Pol. Ind. Domenys 2) , 6-16|Vilafranca del Penedès|08720|Alt Penedès|Cultural|Cultural
Fundació Privada Llar Sant Jaume|Fundació|1127|1997/12/12|Carrer Hostal de la Bordeta , 18|Lleida|25001|Segrià|Assistencial|3a edat ; Assistencial ; Infància i adolescència
Fundació Privada Llar Sant Josep de Sant Boi de Llobregat|Fundació|475|1990/03/12|Carrer Riera Baste , 46-48|Sant Boi de Llobregat|08830|Baix Llobregat|Assistencial|Assistencial ; Residències
Fundació Privada Llars Compartides|Fundació|1962|2004/04/26|Travessera de les Corts , 39-43 , 2n|Barcelona|08028|Barcelonès|Assistencial|Famílies ; Assistencial
Fundació Privada Llars Miró|Fundació|1246|1999/01/20|Carrer Beret , 83|Barcelona|08031|Barcelonès|Assistencial|Discapacitats ; Tutelar discapacitats ; Assistencial
Fundació Privada Llegat Roca i Pi|Fundació|441|1988/12/27|Avinguda Martí i Pujol , 654|Badalona|08915|Barcelonès|Assistencial|Assistencial ; 3a edat
Fundació Privada Llegat Santa Susanna|Fundació|2519|2008/12/03|Carrer Font i Boet , 16|Caldes de Montbui|08140|Vallès Oriental|Assistencial|Assistencial
Fundació Privada Lleida Bàsquet|Fundació|1644|2002/04/15|Carrer Baró de Maials-Ctra. de Corbins , s/n|Lleida|25005|Segrià|Cultural|Cultural ; Esportives
Fundació Privada Llibreria Sta. Anna de la Parròquia de St. Esteve de Granollers|Fundació|2220|2006/06/30|Plaça de l'Església (Parròquia St. Esteve) , 1|Granollers|08400|Vallès Oriental|Cultural|Cultural
Fundació Privada Lliga Catalana d'Ajuda Oncològica, Oncolliga|Fundació|2009|2004/07/22|Carrer Rector Ubach , 5|Barcelona|08021|Barcelonès|Assistencial i Fins Científics|Fins científics ; Assistencial
Fundació Privada Llofriu|Fundació|1813|2003/05/26|Carrer Irene Rocas , 1|Palafrugell|17124|Baix Empordà|Cultural|Preservació del patrimoni cultural ; Cultural
Fundació Privada Lluís Artigues|Fundació|2454|2008/06/10|Carrer Vila i Vilà , 16|Barcelona|08004|Barcelonès|Assistencial i Cultural|Cultural ; Assistencial
Fundació Privada Lluís Companys|Fundació|559|1991/10/14|Carrer Còrsega , 77, 1r 1a|Barcelona|08029|Barcelonès|Cultural|Cultural ; Sindicals i polítiques
Fundació Privada Lluís Coromina Isern|Fundació|2540|2009/01/23|Carrer Girona , 161|Banyoles|17820|Pla de l'Estany|Assistencial|Assistencial
Fundació Privada Lluís Domènech i Montaner|Fundació|2259|2006/11/17|Carrer Rosselló , 244, bxs. 1a|Barcelona|08008|Barcelonès|Cultural|Cultural
Fundació Privada Lluís Linés|Fundació|2603|2010/01/28|Carrer Comunidó , 11, casa L|Altafulla|43893|Tarragonès|Assistencial|Assistencial
Fundació Privada Lluís Nomen Castellnou|Fundació|1600|2001/11/08|Carrer Ulldecona , 21-33, 2n|Barcelona|08038|Barcelonès|Cultural|Promoció ; Cultural
Fundació Privada Lluís Vila d?Abadal|Fundació|72|1984/08/09|Carrer Pere Coll , 12, bxs. esq|Vic|08500|Osona|Cultural|Sindicals i polítiques ; Cultural
Fundació Privada Lux-Art Solidari|Fundació|2790|2013/11/20|Carrer Cuba , 2|Barcelona|08030|Barcelonès|Cultural|Cultural
Fundació Privada López Vicuña|Fundació|547|1991/07/26|Carrer Consell de Cent , 397|Barcelona|08009|Barcelonès|Cultural|Altres activitats formatives ; Docent ; Cultural
Fundació Privada Madame Gényer|Fundació|2174|2006/02/22|Carrer Ramon Llull , 5|Mataró|08302|Maresme|Cultural i Docent|
Fundació Privada Mambré|Fundació|2383|2007/12/12|Carrer Nàpols , 133-137, 3r 1a|Barcelona|08013|Barcelonès|Assistencial|Assistencial
Fundació Privada Manuel Adroer i Maria Raquel Martori|Fundació|2960|2016/04/18|Avinguda Diagonal , 459, 2n 2a|Barcelona|08036|Barcelonès|Sense Classificacio|
Fundació Privada Manuel Blancafort|Fundació|1911|2003/12/09|Plaça Gal·la Placídia , 11, 2n 2a|Barcelona|08006|Barcelonès|Cultural|Cultural ; Realització actes culturals
Fundació Privada Manuel Olivé Sans|Fundació|986|1996/05/29|Carrer Rubinstein , 2|Barcelona|08022|Barcelonès|Cultural|Cultural ; Promoció
Fundació Privada Manuel de Pedrolo|Fundació|2184|2006/04/03|Carrer Major , 7|Tàrrega|25300|Urgell|Cultural|Cultural
Fundació Privada Map|Fundació|1047|1997/04/01|Carrer Dalí , 6-8|Ripoll|17500|Ripollès|Assistencial|Assistencial ; Discapacitats
Fundació Privada Mar|Fundació|2073|2005/02/23|Carrer Llibertat , 1|Palafrugell|17200|Baix Empordà|Cultural i Fins Científics|Mediambientals ; Cultural ; Fins científics
Fundació Privada Marc Sauquet|Fundació|2124|2005/10/10|Carrer Sant Oleguer , 16, 1r|Sabadell|08202|Vallès Occidental|Assistencial i Cultural|Assistencial ; Cultural ; Cooperació al desenvolupament
Fundació Privada Mare Nostra|Fundació|147|1985/03/21|Carrer de l'Esplanada , 80, bxs.|Mataró|08304|Maresme|Assistencial|Assistencial ; 3a edat
Fundació Privada Mare de Déu de Montserrat|Fundació|951|1996/02/22|Camí Antic de Santa Creu d'Olorda , s/n|Molins de Rei|08750|Baix Llobregat|Docent|Gestió centres d'ensenyament ; Docent
Fundació Privada Mare de Déu de la Mercè|Fundació|1782|2003/03/26|Plaça Mercè , 1|Barcelona|08002|Barcelonès|Assistencial|Pobres i indigents ; Assistencial
Fundació Privada Mare de Déu de la Soledat|Fundació|692|1993/06/30|Carrer Segre , 35|Barcelona|08030|Barcelonès|Docent|Docent ; Altres activitats formatives
Fundació Privada Maria Aurèlia Capmany|Fundació|924|1995/08/04|Carrer Junta de Comerç , 17, entl.|Barcelona|08001|Barcelonès|Cultural|Cultural ; Promoció
Fundació Privada Maria Blanxart|Fundació|1988|2004/06/10|Carrer Gran Via de les Corts Catalanes , 657, entl. 2a|Barcelona|08011|Barcelonès|Assistencial|Assistencial ; 3a edat
Fundació Privada Maria Bondia|Fundació|730|1993/10/10|Carrer Balmes , 18|Barcelona|08007|Barcelonès|Cultural|Promoció ; Cultural
Fundació Privada Maria Engracia Olivella Canals|Fundació|2936|2015/12/10|Passatge Saumell , 1|Barcelona|08034|Barcelonès|Assistencial i Cultural|Cultural ; Assistencial
Fundació Privada Maria Pagès Horts|Fundació|2526|2008/12/03|Plaça Sant Vicenç de Paül , 2, bxs.|Figueres|17600|Alt Empordà|Assistencial|Assistencial
Fundació Privada Maria Pintarelli|Fundació|2518|2008/12/03|Carrer Roura , 16, casa|Barcelona|08017|Barcelonès|Cultural|Cultural
Fundació Privada Maria Rosa Rotllant de Franch|Fundació|2573|2009/05/29|Baixada Pla de la Brossa|Torre de Claramunt|08789|Anoia|Cultural|Cultural
Fundació Privada Maria-Mercè Marçal|Fundació|2436|2008/05/06|Carrer Blasco de Garay , 19|Sabadell|08202|Vallès Occidental|Cultural|Cultural
Fundació Privada Marmessoria del General Escofet|Fundació|1778|2003/03/18|Carrer Vigilant , 2|Cadaqués|17488|Alt Empordà|Cultural|Cultural ; Promoció
Fundació Privada Marpí|Fundació|1171|1998/05/07|Camí de la Mora , s/n|Pineda de Mar|08397|Maresme|Assistencial|Tutelar discapacitats ; Assistencial ; Discapacitats
Fundació Privada Martí-Castro|Fundació|659|1993/04/08|Carrer Sant Joan , 55|Ametlla de Mar|43860|Baix Ebre|Cultural|Preservació del patrimoni cultural ; Cultural
Fundació Privada Marítim|Fundació|828|1994/09/16|Carrer Moll d'Espanya , s/n|Barcelona|08039|Barcelonès|Cultural|Esportives ; Cultural
Fundació Privada Mas Albornà|Fundació|2035|2004/11/11|Plaça de la Verema , 1|Vilafranca del Penedès|08720|Alt Penedès|Assistencial|Discapacitats ; Assistencial
Fundació Privada Mas Badia|Fundació|180|1985/06/12|Finca Mas Badia , s/n|Tallada d'Empordà|17134|Baix Empordà|Cultural|Fins científics ; Cultural
Fundació Privada Mas Pelegrí|Fundació|1719|2002/11/04|Carrer Raval de Baix , 32|Vall-llobrega|17253|Baix Empordà|Assistencial|Mediambientals ; Cultural ; 3a edat ; Assistencial
Fundació Privada Mas i Mas|Fundació|2339|2007/07/11|Carrer Trafalgar , 2-4, 13è B|Barcelona|08010|Barcelonès|Cultural|Cultural
Fundació Privada Mascort|Fundació|2488|2008/09/25|Carrer Església , 9|Torroella de Montgrí|17257|Baix Empordà|Cultural|Cultural
Fundació Privada Massís dels Ports|Fundació|1074|1997/05/16|Avinguda Celma , s/n|Mas de Barberans|43514|Montsià|Cultural|Fins científics ; Cultural
Fundació Privada Mateo Vilagrasa|Fundació|2131|2005/11/02|Rambla de Catalunya , 38, 7è|Barcelona|08007|Barcelonès|Cultural|
Fundació Privada Matias Gomà Serra|Fundació|2138|2005/11/16|Carrer Muntaner , 537, entl. 3a|Barcelona|08022|Barcelonès|Assistencial|Cooperació al desenvolupament
Fundació Privada Mauri|Fundació|99|1984/11/02|Carrer Cardedeu|Garriga|08530|Vallès Oriental|Cultural|Cultural ; Preservació del patrimoni cultural
Fundació Privada Mayoral|Fundació|2556|2009/03/10|Plaça Major , 23|Verdú|25340|Urgell|Cultural|Cultural
Fundació Privada Medicina Solidària|Fundació|2198|2006/05/09|Carrer Sant Antoni Maria Claret , 167|Barcelona|08025|Barcelonès|Cultural, Assistencial i Fins Científics|Fins científics ; Assistencial ; Cultural
Fundació Privada Mediterrània|Fundació|77|1984/09/12|Carrer Caponata  , 13, bxs.|Barcelona|08034|Barcelonès|Assistencial|Famílies ; Assistencial
Fundació Privada Menonita de Barcelona|Fundació|2280|2007/01/09|Avinguda Cardenal Vidal i Barraquer , 28|Barcelona|08035|Barcelonès|Assistencial|Assistencial
Fundació Privada Mercedes Armengou Riera (MAR)|Fundació|2354|2007/09/18|Carrer Pisuerga , 15, 10è  3a|Barcelona|08028|Barcelonès|Assistencial|Assistencial
Fundació Privada Mercè Pla|Fundació|1341|1999/11/18|Carretera Tortosa-Aldea , Km. 7|Camp-redó|43897|Baix Ebre|Assistencial|Discapacitats ; Assistencial
Fundació Privada Meritxell|Fundació|388|1988/07/29|Carrer d'en Passet , 16|Mataró|08304|Maresme|Cultural|Promoció ; Cultural
Fundació Privada Met.Room|Fundació|1943|2004/03/05|Carrer Nou de Sant Francesc , 4|Barcelona|08002|Barcelonès|Cultural|Realització actes culturals ; Artístiques ; Cultural
Fundació Privada Miarnau|Fundació|1336|1999/11/10|Carrer Viriat , 47, 6è|Barcelona|08014|Barcelonès|Cultural|Cultural ; Promoció
Fundació Privada Migra-Studium|Fundació|1798|2003/04/16|Carrer Palau , 3|Barcelona|08002|Barcelonès|Cultural, Assistencial i Docent|Assistencial ; Immigració ; Cultural ; Docent
Fundació Privada Mil·lenari - Centres d'Estudis i Formació Fundació Privada|Fundació|715|1993/08/17|Carrer del Pont , 16-18|Manlleu|08560|Osona|Cultural|Cultural ; Promoció
Fundació Privada Mina d'Aigües de Terrassa|Fundació|1360|2000/01/18|Carrer de la Societat , 26|Terrassa|08221|Vallès Occidental|Assistencial i Cultural|Cultural ; Mediambientals ; Assistencial
Fundació Privada Minibikes per la Promoció del Motociclisme Juvenil|Fundació|2695|2011/10/13|Avinguda República Argentina , 188, 5è|Cardedeu|08023|Vallès Oriental|Cultural|
Fundació Privada Minusvàlids Físics Associats|Fundació|757|1994/02/10|Rambla Xavier Cugat , 43|Girona|17007|Gironès|Assistencial i Docent|Docent ; Discapacitats ; Assistencial
Fundació Privada Miquel|Fundació|1884|2003/10/22|Carrer Monturiol , 11, 1r|Figueres|17600|Alt Empordà|Assistencial|Fins científics ; Assistencial
Fundació Privada Miquel Martí i Pol|Fundació|2445|2008/05/20|Plaça Major , 4|Roda de Ter|08510|Osona|Cultural|Cultural
Fundació Privada Miquel Mas Molas|Fundació|232|1986/02/12|Carrer Tuset , 5-11, 5è|Barcelona|08006|Barcelonès|Docent|Gestió centres d'ensenyament ; Docent
Fundació Privada Miquel Pairolí|Fundació|2415|2008/03/10|Carrer Santa Eugènia , 42|Girona|17005|Gironès|Cultural|Cultural
Fundació Privada Miquel Soms|Fundació|2170|2006/02/13|Carrer Antoni Puigblanch , 3, 1r|Mataró|08301|Maresme|Fins Científics|
Fundació Privada Mir-Puig|Fundació|225|1986/01/17|Avinguda Diagonal , 539|Barcelona|08029|Barcelonès|Assistencial i Cultural|Assistencial ; Promoció ; Cultural
Fundació Privada Mobilitat Sostenible i Segura|Fundació|1890|2003/10/31|Rambla Catalunya , 29, 4t|Barcelona|08007|Barcelonès|Cultural|Cultural ; Promoció
Fundació Privada Mobilurban|Fundació|845|1994/11/18|Edifici Daro  , 3a|Bisbal d'Empordà|17100|Baix Empordà|Assistencial i Docent|Docent ; Assistencial ; Discapacitats
Fundació Privada Molí d'en Puigvert|Fundació|1671|2002/07/19|Carrer Gorg d'en Puigvert , 1|Palafolls|08389|Maresme|Assistencial|Atenció mèdica no hospitalària ; Assistencial
Fundació Privada Mona|Fundació|1404|2000/05/24|Carrer Narcís Monturiol , 5, bxs.|Montornès del Vallès|08170|Vallès Oriental|Cultural|Cultural ; Mediambientals
Fundació Privada Montagut|Fundació|1220|1998/10/13|Carrer Indústria , 31, bxs.|Vic|08500|Osona|Cultural|Cultural ; Realització actes culturals
Fundació Privada Montseny|Fundació|609|1992/05/18|Carrer Corint , 3|Barcelona|08006|Barcelonès|Cultural|Altres activitats formatives ; Docent ; Cultural
Fundació Privada Montserrat Junyent i Parera|Fundació|1004|1996/07/17|Carrer La Vinya , 7|Vilafranca del Penedès|08720|Alt Penedès|Assistencial i Cultural|Cultural ; Pobres i indigents
Fundació Privada Moret i Marguí per a la Memòria de la Població|Fundació|2402|2008/02/20|Rambla de Catalunya , 10, pral.|Barcelona|08007|Barcelonès|Cultural|Cultural
Fundació Privada Mossèn Sebastià Fàbregas|Fundació|2370|2007/11/13|Carrer Ripollet , 12, casa|Castellar del Vallès|08291|Vallès Occidental|Assistencial i Cultural|Assistencial ; Cultural
Fundació Privada Museu Barcelona Rock|Fundació|2568|2009/04/30|Gran Via de les Corts Catalanes , 373-385|Barcelona|08015|Barcelonès|Cultural|Cultural
Fundació Privada Museu Cultural i de Recerca "Castell de Sanaüja"|Fundació|2075|2005/03/07|Carrer Bassal , 20|Sanaüja|25753|Segarra|Cultural|Cultural ; Artístiques
Fundació Privada Museu de Puntes al Coixí|Fundació|2156|2006/01/19|Carrer Major , 37, 2n|Arboç|43720|Baix Penedès|Cultural|Cultural
Fundació Privada Museu de la Moto Mario Soler|Fundació|2621|2010/05/20|Carretera C-14, Km. 134|Bassella|25289|Alt Urgell|Cultural|Cultural
Fundació Privada Museu del Joguet de Catalunya - Figueres|Fundació|1193|1998/07/03|Carrer Sant Pere , 1|Figueres|17600|Alt Empordà|Cultural|Cultural ; Preservació del patrimoni cultural
Fundació Privada Museu del Tractor d'Època|Fundació|2620|2010/04/08|Carrer Magnetisme , 1|Castellbisbal|08755|Vallès Occidental|Cultural|Cultural
Fundació Privada Musical Diaula|Fundació|1196|1998/07/08|Carrer Viladomat , 286, àtic|Barcelona|08023|Barcelonès|Cultural|Cultural ; Altres activitats formatives ; Promoció
Fundació Privada Mutuam Conviure|Fundació|639|1992/11/25|Carrer Ausiàs March , 39|Barcelona|08010|Barcelonès|Assistencial|Assistencial ; 3a edat
Fundació Privada Mª Rosa Sans Tintó|Fundació|3045|2017/12/22|Plaça del Firal , 3|Sant Feliu de Pallerols|17174|Garrotxa|Cultural|Cultural
Fundació Privada Mèdica Catalana|Fundació|643|1992/12/02|Carrer Dr. Ferran , 3-5|Barcelona|08034|Barcelonès|Assistencial i Cultural|Cultural ; Famílies ; Assistencial
Fundació Privada Món-3|Fundació|843|1994/11/15|Avinguda Diagonal , 690|Barcelona|08034|Barcelonès|Assistencial i Cultural|Cooperació al desenvolupament ; Cultural ; Assistencial
Fundació Privada Música Simfònica i de Cambra|Fundació|1811|2003/05/20|Carrer dels Marges , 25, bxs.|Sant Cugat del Vallès|08172|Vallès Occidental|Cultural|Artístiques ; Cultural
Fundació Privada Mútua Catalana|Fundació|2101|2005/07/04|Rambla Nova , 56|Tarragona|43004|Tarragonès|Cultural|Cultural
Fundació Privada Mútua Igualadina|Fundació|1633|2002/03/19|Passeig Verdaguer (cant.Sant Vicenç) , 116, bxs.|Igualada|08700|Anoia|Assistencial|Assistencial
Fundació Privada NEPP|Fundació|1965|2004/04/28|Carrer Equador , 75, bxs.|Barcelona|08029|Barcelonès|Assistencial i Docent|Discapacitats ; Docent ; Assistencial
Fundació Privada Naccari Rava|Fundació|382|1988/07/08|Carrer Villarroel , 253, entl.|Barcelona|08036|Barcelonès|Assistencial|Assistencial ; Infància i adolescència
Fundació Privada Nadís|Fundació|1822|2003/06/12|Carrer Canàries , 1|Barcelona|08017|Barcelonès|Assistencial i Docent|Docent ; Assistencial ; Discapacitats
Fundació Privada Nani Roma|Fundació|2328|2007/06/15|Masia de la Serra dels Degollats , s/n|Santa Maria de Merlès|08517|Berguedà|Assistencial i Cultural|Cultural ; Assistencial
Fundació Privada Narcís Jubany|Fundació|2608|2010/03/10|Carrer dels Àngels , 18, 6è|Barcelona|08001|Barcelonès|Docent|Docent
Fundació Privada Nauka|Fundació|1659|2002/06/14|Carrer Dolors Masferrer i Bosch , 9, àtic 2a|Barcelona|08028|Barcelonès|Cultural i Fins Científics|Fins científics ; Cultural
Fundació Privada Nefrona|Fundació|2692|2011/10/13|Carrer Pau Claris , 149, 1r 1a|Barcelona|08009|Barcelonès|Cultural i Fins Científics|Cultural ; Fins científics
Fundació Privada Nenes i Nens amb Càncer|Fundació|2242|2006/09/13|Camí de Sant Cebrià , s/n, bxs.|Barcelona|08035|Barcelonès|Assistencial|Assistencial
Fundació Privada Nostra Senyora dels Àngels|Fundació|583|1992/02/12|Carrer Roger de Flor , 274, bxs.|Barcelona|08025|Barcelonès|Assistencial|Tutelar 3a edat ; Assistencial
Fundació Privada Nou Camí|Fundació|483|1990/05/04|Gran Via de Carles III , 37-39, ent. 1a|Barcelona|08028|Barcelonès|Assistencial|Tutelar discapacitats psíquics ; Atenció mèdica no hospitalària ; Assistencial
Fundació Privada Nou Lloc Habitatge Social|Fundació|2225|2006/07/11|Carrer Rambla , 221, bxs.|Sabadell|08202|Vallès Occidental|Assistencial|Assistencial
Fundació Privada Nou Mon|Fundació|1090|1997/08/29|Carrer Barcelona , 2|Sant Cugat del Vallès|08190|Vallès Occidental|Assistencial|3a edat ; Assistencial
Fundació Privada Nous Cims|Fundació|2937|2015/12/17|Plaça d'Europa , 21-23|Hospitalet de Llobregat|08908|Barcelonès|Assistencial|Assistencial
Fundació Privada Nous Horitzons|Fundació|678|1993/06/21|Passatge del Rellotge , 3|Barcelona|08002|Barcelonès|Cultural i Docent|Sindicals i polítiques ; Cultural ; Docent
Fundació Privada Nova Escola|Fundació|1472|2000/11/10|Avinguda de la República Argentina , 85-89|Barcelona|08023|Barcelonès|Docent|Altres activitats formatives ; Docent
Fundació Privada Nova Història|Fundació|2543|2009/01/29|Carrer Democràcia , 5, 2n 1a|Barcelona|08018|Barcelonès|Cultural|Cultural
Fundació Privada Nueva Frontera|Fundació|2341|2007/07/11|Camí Can Gatxet , 55, 3r 2a|Sant Cugat del Vallès|08173|Vallès Occidental|Assistencial i Cultural|Assistencial ; Cultural
Fundació Privada Nus|Fundació|2238|2006/07/31|Carrer Lepant , 151|Sabadell|08203|Vallès Occidental|Cultural|Cultural
Fundació Privada OMS|Fundació|2185|2006/04/10|Carrer Oms i de Prat , 2|Manresa|08241|Bages|Cultural|Cultural
Fundació Privada Obra Social Benèfica de Castellar del Vallès|Fundació|1897|2003/11/10|Carrer Mestre Ros , 7|Castellar del Vallès|08211|Vallès Occidental|Assistencial|Assistencial ; 3a edat
Fundació Privada Obra Social Comunitària Bellvitge (OSCOBE)|Fundació|332|1987/11/05|Carrer &quot;Can Costa&quot; - Zona Rural de Sant Medir , s/n|Sant Gregori|17150|Gironès|Assistencial|Cultural ; Promoció ; Assistencial
Fundació Privada Obra Tutelar Agrària|Fundació|1077|1997/06/03|Carrer Aragó , 174-176, 4t 4a|Barcelona|08011|Barcelonès|Assistencial|Infància i adolescència ; Assistencial
Fundació Privada Observatori Esteve Duran|Fundació|1183|1998/06/11|Carrer Montseny (El Montanyà) , 46|Seva|08553|Osona|Cultural i Fins Científics|Realització actes culturals ; Cultural ; Promoció ; Fins científics
Fundació Privada Olga Schlee|Fundació|3016|2017/04/05|Carrer de Catalunya , 14|Sant Just Desvern|08960|Baix Llobregat|Assistencial i Cultural|Cultural ; Assistencial
Fundació Privada Olga Torres (FOT)|Fundació|1826|2003/06/13|Ronda Maiols (Edifici B.M.C) , 1|Sant Quirze del Vallès|08192|Vallès Occidental|Fins Científics|Fins científics
Fundació Privada Ollin Yoliztli|Fundació|1675|2002/07/19|Can Armenteras , s/n|Santa Maria d'Oló|08273|Moianès|Cultural|Mediambientals ; Cultural
Fundació Privada Omega|Fundació|1435|2000/08/01|Carrer Pruelles , 1-3|Sitges|08870|Garraf|Assistencial|Assistencial ; Discapacitats
Fundació Privada Onada|Fundació|2034|2004/11/11|Carrer Riu Llobregat , 10|Tarragona|43006|Tarragonès|Assistencial|Assistencial ; Residències ; Discapacitats
Fundació Privada Oncolliga Girona|Fundació|2030|2004/11/11|Carrer Illa Fuerteventura , 10|Girona|17007|Gironès|Assistencial|Famílies ; Assistencial
Fundació Privada Onyar-La Selva|Fundació|2089|2005/04/27|Carretera de Sant Feliu , Km. 5|Quart|17242|Gironès|Assistencial i Docent|Assistencial ; Discapacitats ; Realització actes culturals ; Docent
Fundació Privada Ordesa|Fundació|1740|2002/12/31|Carrer Cister , 2, 2n|Barcelona|08022|Barcelonès|Cultural i Fins Científics|Cooperació al desenvolupament ; Assistencial ; Infància i adolescència ; Cultural ; Realització actes culturals ; Fins científics
Fundació Privada Oreig|Fundació|1126|1997/12/11|Carrer Indústria , 45|Palamós|17230|Baix Empordà|Assistencial|Assistencial ; Infància i adolescència
Fundació Privada Orfeó Català - Palau de la Música Catalana|Fundació|514|1991/04/09|Carrer Palau de la Música , 4-6|Barcelona|08003|Barcelonès|Cultural|Artístiques ; Cultural
Fundació Privada Orfeó Gracienc|Fundació|561|1991/10/24|Carrer d'Astúries , 83|Barcelona|08024|Barcelonès|Cultural|Cultural ; Realització actes culturals
Fundació Privada Orfeó Martinenc|Fundació|2017|2004/07/29|Carrer Concepción Arenal , 5, 2n 4a|Barcelona|08027|Barcelonès|Cultural|Cultural ; Realització actes culturals
Fundació Privada Orfeó de Sants|Fundació|1818|2003/06/11|Carrer Badalona , 18, bxs.|Barcelona|08014|Barcelonès|Cultural|Preservació del patrimoni cultural ; Realització actes culturals ; Cultural ; Artístiques
Fundació Privada Orquestra Jove de la Selva|Fundació|1742|2002/12/31|Passeig Sant Salvador , 25-27|Santa Coloma de Farners|17430|Selva|Cultural i Docent|Altres activitats formatives ; Cultural ; Docent ; Artístiques
Fundació Privada Oscar Tusquets Blanca|Fundació|1130|1997/12/19|Carrer Abadesa Olzet , 7, bxs.|Barcelona|08034|Barcelonès|Cultural|3a edat ; Preservació del patrimoni cultural ; Cultural
Fundació Privada Osona Formació i Desenvolupament|Fundació|1706|2002/10/21|Carrer Socós , 23, 2n 1a|Centelles|08540|Osona|Cultural i Docent|Realització actes culturals ; Docent ; Altres activitats formatives ; Cultural
Fundació Privada Osona Porc|Fundació|2104|2005/07/11|Carrer Mataró , 1|Vic|08500|Osona|Cultural i Fins Científics|Promoció ; Cultural ; Fins científics
Fundació Privada P. i  P. Pizarroso|Fundació|2205|2006/05/26|Avinguda Josep Tarradellas , 46, 5è 4a|Barcelona|08029|Barcelonès|Fins Científics|
Fundació Privada PROCAT|Fundació|1040|1997/02/03|Via Julia , 201-203|Barcelona|08016|Barcelonès|Cultural|Cultural ; Realització actes culturals ; Artístiques
Fundació Privada Paco Candel|Fundació|2158|2006/01/20|Carrer Mare de Déu del Port , 363, int.|Barcelona|08038|Barcelonès|Cultural|Cultural
Fundació Privada Padre Piulachs|Fundació|290|1987/02/06|Carretera de Castellar , 2|Sentmenat|08181|Vallès Occidental|Docent|Docent ; Gestió centres d'ensenyament
Fundació Privada Paisatge Urbà de Lleida|Fundació|2298|2007/01/29|Plaça Paeria , 1|Lleida|25007|Segrià|Assistencial i Cultural|Assistencial ; Cultural
Fundació Privada Palau|Fundació|1746|2003/01/13|Carrer  Riera (Edifici Can Montanyà) , 54|Caldes d'Estrac|08393|Maresme|Cultural|Cultural ; Preservació del patrimoni cultural ; Promoció
Fundació Privada Panacea|Fundació|2506|2008/11/10|Carrer Provença , 116, entl. 1a|Barcelona|08029|Barcelonès|Assistencial i Cultural|
Fundació Privada Paper de Música|Fundació|1387|2000/03/23|Carrer del Fossar , 2|Capellades|08786|Anoia|Cultural|Cultural ; Promoció
Fundació Privada Parc Temàtic de l'Oli|Fundació|1261|1999/02/24|Carretera N-240 , Km.71,72|Borges Blanques|25400|Garrigues|Cultural|Promoció ; Cultural
Fundació Privada Parc d'Innovació Tecnològica i Empresarial la Salle|Fundació|1584|2001/10/11|Carrer Sant Joan de la Salle , 42|Barcelona|08022|Barcelonès|Fins Científics|Fins científics
Fundació Privada Pare Esqué|Fundació|797|1994/06/10|Carrer Sant Antoni Maria Claret , 50-62, galeria, int.|Barcelona|08025|Barcelonès|Cultural|Religioses ; Cultural
Fundació Privada Pare Manel|Fundació|2023|2004/10/06|Via Favència , 244-250, A, local|Barcelona|08042|Barcelonès|Assistencial|Assistencial ; Infància i adolescència
